id,text,category
1957039947,@blood_rain i wanna see her hair  hows everyone?,worry
1957040172,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE.",sadness
1957040395,im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much,sadness
1957040988,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over,sadness
1957041569,Aww...  Pray for the arroyo family everyone!,worry
1957041648,@the_babsi there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product,neutral
1957041745,Fuuudge. Movie store is closed,sadness
1957041767,ALO is so sad and quiet and empty tonight,sadness
1957041856,@wuzzyangel You never answered your DM I sent you....   I need your info...,worry
1957042008,Am trying to get through the pilot of the first season of friday night lights. Oh gosh  Pass the tissue...,worry
1957042316,@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie,sadness
1957042474,I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!,worry
1957042509,@jose3030 I didn't think anyone caught that,worry
1957042799,OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE,neutral
1957042862,"lyin in bed, up faaaaar too early",neutral
1957043226,Sad that Christian Lacroix had to file bankruptcy,sadness
1957043241,I dont feel good AT ALL. fuckkk,sadness
1957044680,looks like i'll never go to the zoo,worry
1957044694,@djvinceadams Ohh poor girl  I'll email her... I am relying on you being here in October Mr!!,worry
1957044783,When will Medhurst play again?,neutral
1957044789,@Moss1982 bad times?,worry
1957045395,Have to go to the dreaded DMV tomorrow,sadness
1957045641,@duncm I'm a bit Ben's Thai-ed out,neutral
1957045692,english class! working on interactive orals,happiness
1957045940,@SharonHayes Thank you for the rec but that doesn't work,worry
1957046053,@dmoneymania  I'm sorry. Excited for tomorrow night? Karaoke!! Getting anything special for bday?,neutral
1957046090,My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie,worry
1957046631,I don't know how ima work out tomorrow wit my body dis sore  ugh,worry
1957046815,in 7-11  w/o you,neutral
1957047408,"@becjee Yeah, plus it's just a little too far to walk to Pinocchio's for sushi",neutral
1957047569,I'm feeling this pressure in my head that always kicks in just before a nasty headache. I'm not looking forward to this.,worry
1957047571,Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.,sadness
1957047787,I'm suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts.,worry
1957047828,"Lady across the way had a miscarriage, say a prayer",worry
1957048027,God I just want to sleep.,sadness
1957048870,I feel so deflated. No more doggy.,worry
1957049167,Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes,sadness
1957050684,is feeling bad  just got bad news about my Mum,worry
1957050747,@RealBlackWidow But but I dun wanna,sadness
1957050890,@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!,sadness
1957051517,"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha",sadness
1957052167,@brettyrocks thats what i was thinking but the only time it's gonna be on is 1 am!,neutral
1957052211,"Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her",neutral
1957052409,don't feel like working  I think I tweet this too often!,worry
1957052932,feels sick to my stomach and idkk whyy,sadness
1957053170,vineri...nimic special sau probabil un alt weekend pierdut...,worry
1957053247,Counting the hours of lost sunshine until the Weekend,neutral
1957053566,"@hello_jodie Um, I was thrown from @JareWolf's van yesterday and had to be taken to the ER",sadness
1957055178,"got to final table, but....went out third.  Don't think I'll be getting my free seat",worry
1957055396,good morning work this morning gutted lol nevermind,neutral
1957055981,FB is boring   and i wanna sing RIGHT NOW..! *-*,happiness
1957056027,@judyrey  The link doesn't work,sadness
1957056041,@Deedubau hahaha I don't know anyone or anything about it except they have powers lol... I live in my own bubble,neutral
1957056896,The humpalow um ya I think so... Cell is dying,worry
1957057026,Last day at work...Sick to the bone,worry
1957057469,i feel like I'm on house arrest.,worry
1957057586,"love is like a war,,easy to begin, hard to end..fiuuhh...",neutral
1957058219,@cosmiclagoon Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad,worry
1957058504,@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!,happiness
1957059348,my stupid tooooth hurts,sadness
1957059671,Ready To Go @ School,neutral
1957059917,@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.,sadness
1957060283,@Richard_Gable It's good isn't it! Our holiday chalet is out of sight but look v similar to those ones. Going home again today,neutral
1957060439,It's a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that...,worry
1957061418,@jarekpastor I'm just starting to feel really panicky and anxious that something bad has happened cos it seems like it's been ages,worry
1957061527,my dog ran awayyy,worry
1957062262,"I'm back. top molar extracted  swollen face, all numb.  But no more toothache or sinus pain.",worry
1957062676,does anyone know any good rap songs? i need to make a rap/fun cd and i have no idea  helllllpppp,worry
1957062827,I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!,sadness
1957063845,@Penguin_J heehee. i love you! i am tired.,sadness
1957064177,my mobile phone refuses to charge!!  either the battery is broken or the chargerrr ( booooo,worry
1957064253,@Kirsten613 oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something,worry
1957064566,"@kimberly625 hmmm, I thought u were sleeping!! Too bad I can't see those videos until tomorrow night.",worry
1957064575,"Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day",sadness
1957064908,"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job...",sadness
1957065963,@nayRyelgiuQ airport? and you didnt show up tonight homo!,neutral
1957066120,@charloro jealous  it looks like schindler's list in toronto,worry
1957067386,@avalonabsinthe what?! Come as you are!!! But erock just left  bah D:,neutral
1957067988,@joiskol  being in your room makes me sad.,sadness
1957068229,"Nearly fell asleep, but was jolted out of bed by a massive panic attack and now I'm not sure if I can sleep at all.",worry
1957068585,for the gays i only made 200 tonight,neutral
1957068880,@CocktailChic oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks,sadness
1957069453,"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  Shit!",sadness
1957070484,"@dravenreborn I bet its cool down in SR, huh? It's not here. I haven't stopped sweating since noon when dad and I were packing",neutral
1957070534,@meljachin: eww. dislike,sadness
1957070786,Tactical mistake: going to the city library and buying milk. Who knew? OUCH OUCH OUCH. Maybe a good thing I didn't try for uni.,worry
1957070871,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,neutral
1957071331,"@SuzyDunkley sorry bout the cat,",sadness
1957071583,needs to have an increase on her salary  http://plurk.com/p/wxluu,neutral
1957072308,my stomach feels like it's touching the ground..i'm SO full,worry
1957072682,Sooo much work so little time,worry
1957072896,missed iron chef,sadness
1957073073,@thevowel the DS version sucks,sadness
1957073201,what a bad day,sadness
1957073984,"Ugh, my internet was down!",worry
1957074214,is feeling so giddy and wanna go home.,worry
1957074267,the week just wasnt the same without an adam lambert performance!!!,neutral
1957074812,@rockingjude The link doesn't work,neutral
1957074977,Up and packing. Its the last day of youth camp,worry
1957075035,"GOSSIP GIRL, WHEN ARE YOU COMING BACK  ! chaceeeeeee..",neutral
1957075180,Smh @ hiphop nursery rhymes,neutral
1957075229,Somebody please save the polar bears!,worry
1957075268,@PandaMayhem noooooooooooo i just look at a lot of pictures   lol lol,happiness
1957075457,It has come to my attention from a 16yo friend that I've recently gained a TON of weight. He didn't know it was me.,worry
1957075557,guess im staying home tonight...no movie-ing for me,worry
1957076048,went to the cd store to search for the cd. But,sadness
1957076214,@BuzzEdition reminds me of the weather a month ago it was horrible  I hope all is well hugs,worry
1957076433,I miss my mom..  &quot;May angels lead you in&quot;,sadness
1957077528,"@taylor_d No, it's not...",neutral
1957077552,@chocolovere i feel the same way every day,sadness
1957077564,Can't sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.,sadness
1957077934,@crunchmonkey78 well i just got home and its not on till tmw at 530p but with comcast its on right now  but i didnt miss it,neutral
1957078157,Sleppytime. Really missing my godfather right now. Love you Wayne,sadness
1957078740,So have a headache right now and it sucks,sadness
1957079130,@JayDz hope ya sleepin well  guys still here,worry
1957079355,"i should be finished.... but i'm not.  color drawing, here i come.",fun
1957079403,"@jwray12 Lakers, baby Lakers!! I'll miss the game tmwr. I have to work  you'll have to keep me posted please",sadness
1957079496,"comfort food of the day: pan mee. though, it didnt taste any good..",sadness
1957079533,damn being drunk and hot sucks,worry
1957079568,misses my baby.,sadness
1957079622,is not sleeping because he has paperwork to do.,worry
1957079972,Showered in ice-cold water. Sweating now. Means one thing: I'm sick,worry
1957080150,"midnight cry.. wish the person I wanted, wanted me right now",worry
1957080521,@mousebudden I'ma need you to follow me real quick cause I can't DM you,neutral
1957080579,I'm poorly and can't sleep,sadness
1957080963,Went to pole class. Feeling discouraged. I am hopeless when it cones to dancing or sexy moves or spreading my legs.,worry
1957081280,"@RoasterBoy And these poor, unfortunate souls don't appear to have any pants at all...  ? http://blip.fm/~78qvz",worry
1957081795,@damohopo @StephanieEllen If I told you how often I wash my hair you would never speak to me again,worry
1957082086,"Looks like another sleepless night dedicated to homework. Sorry in advance, Ms. Chapman.",worry
1957082503,@jessicaduncan http://twitpic.com/662vk -  WHY DO U LOT MOCK ME!!!,worry
1957082536,didnt say goodnight to you,worry
1957082926,has work tom.,sadness
1957082939,In the Hongkong International Airport. Has to wait for 3-4 hours for our next flight to Cebu.,neutral
1957083056,Can't sleep and nothings on tv!!,neutral
1957083230,@KallieT oh ... you've been superseeded?  not good enough,neutral
1957083616,today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and I'm definately NOT working this pm,sadness
1957083910,@Syo_of_the_dead I met a stranger just 10 min ago. He was stalking me at the store,worry
1957084166,Sometimes the things you say hurt the ones you love most unintentionally.  And you can never ever take it back or fix it.,sadness
1957084446,@nickkk_ that sucks!,sadness
1957084552,@dorkydeanna IIII know!!! and mean,neutral
1957084638,Having Fever  dont feel to work,sadness
1957084742,"Taking Horse Pills, hoping I can get some sleep tonight",worry
1957084935,@BusyGod PGPM student from where? I myself was a PGPM student about 4 years back. I wish I could stay one,neutral
1957084945,missing @MeLDiBiAsE...6 days can't pass quick enough,sadness
1957085211,"Working from home today, my back is killing me  Doctor and then physio after later today.",sadness
1957085406,back to work.. with no distractions..,neutral
1957086137,"@ddlovato demi, just say hi to me and it`s enough. just replay to me please  love you so much!!!",happiness
1957086150,awwww  i never noticed this http://bit.ly/RConp,neutral
1957086168,"@heavyharts that sucks  well state starts tomorrow so im headin 2 bed, nitey nite",neutral
1957086444,"Looks like it's going to be too nice to work today, how annoying as I have no choice",worry
1957086920,@mygoldmask did you guys keep a set list? I forgot to ask for one  xx,neutral
1957087043,"First impression of Silverlight: sadly, based on what I saw today, it's quite problematic",neutral
1957087059,is desperatly hoping my dad takes me to vanessa's game,worry
1957087780,@pb_and_jay hi!  Fuck your job!,worry
1957087793,Missing you all deeply,sadness
1957088016,"the time you go to bed,  i have to get up to go to work",neutral
1957088179,"@mrssunshine96 big now!!! Vanessa is going to be 3 in September, its going by so fast!  its hard cuz Im workin so much, I miss out on alot",happiness
1957088224,"@Ravels sniff sniff  take care ravels! Hopefully we'll be chatting again soon. In the mean time, I'll HELLA miss you.",sadness
1957088340,"@miss_cheryl Lucky, now I want to teleport",neutral
1957088574,Somebody please save the polar bears!,worry
1957088900,"My nose is runny, my head is pounding, and teeth hurt like a bitch. MAN. @-) I feel awful.  =((",worry
1957089208,I don't want her to leave..,sadness
1957089465,"good lord, just seen the agency work for our upcoming Open Day. Money for Jam",happiness
1957090025,At the Grove for 'Drag Me to Hell.' I hope that it doesn't suck.,worry
1957090285,@NOLAevol so i feel like shit for saying HAPPY BELATED BIRFDAYY.. i'm only a month late,worry
1957090408,"@KaliyahPjones lmao...thats sad, kinda discourages me 4rom goin if the shit's wack",sadness
1957090496,@WillyNorthpole I wish I was there,sadness
1957090643,"I miss my little Batty, she was only 3 months old when she got sick, she was always so fun and full of life &lt;3 Even at the very end...",sadness
1957091075,FC is finally up again. it's about time. i hate that this keeps happening,neutral
1957091147,seriously bored without anyone to talk to... but not tired enough for sleep,neutral
1957091327,morning again! I hate mornings. So offensive!,sadness
1957091357,@keytar still!! give your computer a break omg,neutral
1957091372,bed bed bed @samuelasanders do you never answer texts anymore?  I thought of you the other day and sent one but never heard back. Sad day,sadness
1957091954,where u at?,neutral
1957092017,@brianshead waah. We're no longer your peeps.,sadness
1957092623,@angelica_yo LOL wow dawg doesn't sound like you're playing!  I feel bad now haha,sadness
1957093069,My little foster kittens are getting big...chubba and Winston are going 2 b missed when they get amazing homes.,happiness
1957093148,@Forever_Yours13 I'm not at home with my cats right now!,neutral
1957093185,hoping i didn't fail english. that would just be sad,worry
1957093471,Know what would be great? For my shoulder to stop hurting so I can sleep normal again.  I just want/need a few solid hours of good sleep.,worry
1957093807,Leno's last show was tonight.  I like him better than Conan.,neutral
1957093920,@MariusLT I'm sorry about your bad driving experiences.,sadness
1957093924,@monpio i don't have any of that,neutral
1957094323,Already misses @CMontecillo,sadness
1957095604,@eCheers Random has an a,neutral
1957096302,I knew I should've worn the SARS mask on the plane from SoCal.. feeling the beginnings of a sore throat,worry
1957096324,Gutted that the bathroom still isn't free- early work isn't going to happen  . And I need the loo!,sadness
1957096447,@ddlovato july... too long,neutral
1957097210,@laurelexmachina awww I wish I could have been there  I'm stuck here about to jab out my eyes with knitting needles,worry
1957097629,Wearing glasses gives me a headache.,neutral
1957098732,"finished sewing for the night, uploading pictures from slidebar and beach. i cant believe i am having difficulties with twitter!",worry
1957098844,thank you @ddlovato (: cant wait!!!! ummm btw ima crash still sick,sadness
1957098983,"First my work computer, now my home laptop is fucked.",sadness
1957099112,#liesgirlstell  a guy calls her phone to see if the number is real ) ohh my phone isn't working . try tomorrow .,worry
1957099375,#beer #friday #melbourne #cbd #mtub #mini #cmon Thirsty and lonely ... you buggers are making me feel like a scotty no mates,worry
1957099717,@debbylovespr I know. We came back from 22 down in the 1st just to lose the lead in the last 6 minutes.,worry
1957099719,gosh... summer vacation is almost over here at the philippines.. kinda sad..  i wonder what section will i be in?,worry
1957099757,"@shanajaca But @feltbeats is on page 6 at Ms Twitterworld, only 26 votes",neutral
1957099758,I'm bummed that I can't wear my sweet Nike kicks to work.,worry
1957100044,@Pickleybaby - your twitter is broken,worry
1957100351,sleep....good night tweeties!!! down to OC tomorrow. I hope and pray that Rachyl gets better SOON!!!,neutral
1957100428,@joek949 It's depressing I'm stuck inside all day,sadness
1957100610,@rachelasha I even saw the news feeds of the archie website. But can't believe he'd choose veronica. I'm disappointed,worry
1957100791,i hate being sick. i miss @cynthiasheree @lucyowns and @larilync,sadness
1957101169,@iceweasel im eating sliders at barjohnnys! (theyre pork tho not beef  still on the search...),neutral
1957101953,Getting ready for school - second maths test today  also its my last day of 3rd year!! Next week i will officially be in 4th year,happiness
1957102054,"Woke Up,I Wanna Stay In My bed",sadness
1957102266,depressed that i wasn't included in the morcom gardens quiz on facebook,worry
1957102331,"@dravenreborn yeah, its still totally in the high 60s here. soooo notlooking forward to aug and sept up here",worry
1957102464,Upsidedown tomato plants died!,sadness
1957102785,@ashleypratt Oh come on!!! You get next week off and I get next week full of exams!,worry
1957103043,"friday here at last, not much fun when your skint though",neutral
1957103680,"@vocabularies i know, don't tell anyone  i dont know if my dad told the famz yet. i think i'm taking it online.",worry
1957103831,@ddlovato Caan't Iht Be Earlier? ICant Wait That Long.  Ahar. (:,sadness
1957103842,"Friday yay!! And a bonus, don't have to drive to Wales tonight.  Athough will miss kitten cuddles and going for a ride",happiness
1957103882,My children have promised me birthday brekkie in bed. There's a problem with that in that there's bugger all food in the house,worry
1957104001,@RDeRozario woops! I only just realized my DMs to you are not going through,worry
1957104581,I don't think I will be able to get out of bed tomorrow morning  we will seeeee!,neutral
1957104858,the times they are a changing,neutral
1957104948,@prncsztalia why do you hate me!?,sadness
1957105525,@slickiris video is not available to us foreigners,neutral
1957105755,http://twitpic.com/663vr - Wanted to visit the animals but we were too late,sadness
1957106132,@prime8507 PC I agree...  We have a problem. We must stop spending and only work!!!,worry
1957106328,#jonaswebcast i just missed it!!!!,sadness
1957106752,waiting to get picked up!,neutral
1957106916,So exhausted..can't sleep. I don't like these nights,sadness
1957107095,i'm gonna miss all the live Comet action tomorrow! i have to go take care of my cousins and they don't have access to the interwebz,sadness
1957108151,@NothinButSin sorry to hear that.,sadness
1957108253,"Morning ;Sports day today, and I have to do the three-legged race with @Weefeetfrankie  ; Mr Pettigrew said I'm not aloud to trip her up",worry
1957109281,Just found out I can't drink at this bar! Booo missing e1 at palomino's! No cheers sad face,sadness
1957109545,Cannot sleep. 2+ hours of tossing and turning.,worry
1957109983,Omg going to die of swine flu when I go to Melbourne,worry
1957110716,"@Giggles_xo   dang it, so its not certain ? ? ? are you okay?",neutral
1957111029,wishes Dave Gilmour and Roger Waters would re-unite for a Pink Floyd concert,neutral
1957111072,finished a whole box of ice cream,sadness
1957111113,In 1 horse town + 2 blown out car speakers =,neutral
1957111130,Someone make me a cofffeeeeeee......,neutral
1957111418,@crispynoodles plus I just deposited tax return cheque but for first time in 7+ years it didn't clear immediately,worry
1957111702,@AshleighRyder I knooww  &amp; my hot water bottle iss in whangamata without me. ahhhhh,worry
1957111950,My nose is stuffy,neutral
1957112500,last night in newport,neutral
1957112843,"Ok, other then my shoe, the club is cool. Its fun, and its poppin except 4 the ppl tryna dance wit me",happiness
1957112874,Holy crap! It's raining in LA and I don't have a jacket!  oh no.,worry
1957112925,Aright Twitter Fam... guess ima be outties.. gonna try n sleep off some of this horrible pain,neutral
1957113207,Baby was not herself after recieving vaccines,neutral
1957113231,"Wish I could attend E3 this year. But these small events like the NBA and Stanley Cup Finals keep getting in the way.   Work, work, work.",worry
1957113346,"@o0hemmy lol hi emmy, latin would help me study for the aptitude tests to get into grad school ;\ thats why i wanna take it",happiness
1957113650,@chrisontv88 btw I am not a wimp,sadness
1957113844,Rejecting all food substances.,worry
1957114162,"@bigyahu no I was trying to interview Dr Paul Twomey, CEO of ICANN. Phone issues cut the interview from 30 mins to 15.",worry
1957114575,@queenbmakeup i can't add you on myspace girly  it asks for a last name and email,sadness
1957114904,@meghanwong don't think i can take a needle. watched a horribly gory short film on drugs a few months ago. i'm scarred for life.,worry
1957114960,I don't wanna go back to work   sleepy time.,sadness
1957115194,@jprestonian It feels not good.,worry
1957115198,watching The Biggest Loser on Hallmark. Never fails to make me cry  nyeh.,neutral
1957115476,@zaharh that sucks!  how old are you actually?,neutral
1957115546,Thinking about getting up for work,worry
1957115742,Still confuse...,neutral
1957115997,I was a very naughty girl tonight. dissappointed with myself,worry
1957116154,@rbuerckner That's better than Missy 8 telling me I should be on The Biggest Loser,worry
1957116289,http://bit.ly/3W9w1  NOOOO! he goes for Orlando! OMG  I'm gonna CRY!!!!!!!!,sadness
1957116826,scratch that; sleep on a stage bound.,neutral
1957117307,@officialTila I cnt get it!! its goin to ur old messages?!?  &gt;&gt;&gt;&gt; HELP?&lt;&lt;&lt;&lt;,neutral
1957117786,@laurelexmachina Swimming is a no go for me,neutral
1957117968,"@johnpopham Morning John, yes I do, however I have a diary clash and sadly can't attend!",sadness
1957118155,I miss my friend,sadness
1957118207,"@duciaestherine ohh ic ic haha, iyaa my summer is filled with ONE Course that lasts for the whole summer",neutral
1957118513,Yea i just saw this really sad commercial,sadness
1957118612,Hmmm. Using TinyTwitter on a small non-touch screen is really not much fun,sadness
1957119110,@plantweb  Lettuce &amp; spinach does best in cool weather.. I live in florida..not much luck growing those..,fun
1957119180,@Joshuah_Pearson,neutral
1957119815,@ccburns Unfortunately not,neutral
1957120282,@elephantgravy my new lens isn't working. It worked for a bit and now gives an fEE error,worry
1957120549,Hates having to sleep alone,sadness
1957120767,@emlevins,neutral
1957120823,"back at school again. almost weekend. oh wait, i gotta work from eight to four tonight",worry
1957120981,I loved johnny carson now I'm going to hate seeing jay leno go,sadness
1957121259,even though everyone wanted to do a newish song and our teacher agreed :S old grumpy doesn't like us happy  haha,sadness
1957121670,doing my english essay (on r&amp;j...wtf) that i should have done a long time ago when it was assigned last thursday,worry
1957121753,@Tiff_Tiff_Marie  I think I do it too much....,worry
1957121970,@razitul ya. i was suffering the whole day yesterday. met dentist and feel a bit better. i still look like rocky balboa though,sadness
1957122083,@GQbound I didn't end up really eating  had more snacks. sigh,worry
1957122428,ups ketauan cabut nih gimana dong,neutral
1957122777,@Harishk: @krist0ph3r @saurabh sorry guys i have to drop out of the trip... some personal commitments..,worry
1957122923,I didn't get a callback for the play I cried...  oh well I guess it's back to being a techie..,sadness
1957123048,@UniqueMakis Awesome! Wish I could fly out to see her,happiness
1957123281,@lunafactor I kinda wish I went with you now!.. I can't fall asleep,sadness
1957123469,"At Rocky Cola Diner in Whittier tonight with teacher pal Mr. B, we had a great time chatting but no one else came...",worry
1957123693,Off to bed!! Still exhausted from Vegas,neutral
1957124014,ummm sooo yeh....its really hard to concentrate rite now wen i have this weird #lupus feeling goin thro my body,worry
1957124073,@charleyboorman http://twitpic.com/65623 - OUCH!! That looks so painful,worry
1957124088,Took a 4 hour nap after work today and won't be able to sleep all night    This is a bummer,neutral
1957124444,@JetWolf I know I enjoy watching you two on twitter. About as entertaining as the comic.  That I miss,fun
1957125420,Loving lil ken and absolutely dreading saying goodbye in less than a week,neutral
1957125620,@Dakshinamurti Not yet... sorry,sadness
1957125747,All I want to do is sit back &amp; relax for a little while. How can that be this difficult?!,worry
1957125791,@zhenerak I thought I was your best friend?,worry
1957125863,HII!! ThatsÃ¯Â¿Â½meE!! I woke up and I am goinG to SchooL... Why me??,neutral
1957126750,FALL ASLEEP ON ME AGAIN  But I know how it feels now LOL. Drag Me To Hell tonight! Quite excited,sadness
1957126765,god i cant even catch public transport. swine flu is shit house,worry
1957126859,"Dad just said that our trip to UK is cancelled, due to da swine flu. Ooops! Sorry abang.",worry
1957126889,asks for karma points please.  http://plurk.com/p/wxnt9,neutral
1957128448,someone take me to LA  I NEED TO SEE THE LEMON TREE,happiness
1957128473,um... so I don't think my text msgs have a &quot;subject line&quot; ... I fail,sadness
1957128727,tummy ache.,sadness
1957129392,"@goddessfleur youre so far away, I don't know what to do....",worry
1957129667,L.A. said &quot;wipe the slate clean&quot; before the jelly!,neutral
1957130105,"@hiracdelest who's the one always working now?  oh yeah, still me.",happiness
1957130295,@seanpercival Unless that invite comes with a beta key I'm not going to be much help...,neutral
1957130303,@Johnny_Exp not where i live.,neutral
1957130797,"@askegg I'm sorry, Andrew. I wish there was something I could do...",sadness
1957131196,as if i finsh work at eleven.. IS THAT EVEN ALLOWD?  cauz i really dont want to.. lol,sadness
1957131626,"@AmandaMallard i'm not at chaseton's either  please don't die, my heart will be really sad",sadness
1957131642,that was an interesting show to say the least. recap tomorrow. first i must sleep. work in am.,happiness
1957131762,@omgjoker o its feels like a hot box and no matter where i go in here it still feels like a hot box! ice cream isn't working n e more,worry
1957132096,Very Sad.... please get better Grandma,worry
1957132373,@aannniieee uuuugh  i hate everything,worry
1957132397,Gosh. Today's weather is HOrriTerrible! Extreme hotness. I'm losing a lot of water weight by doing nothing.  - http://tweet.sg,worry
1957132511,"Is taking a moment to reflect...I want my annonymity back,FB!!!!  Is it safe to say anything about someone else to another friend again?",worry
1957132732,@sha_da_asshole Ã¯Â¿Â½ cant im not @ my sister house no Ã¯Â¿Â½-net tonite,neutral
1957133079,"Damn, hi Facebook ? what's wrong with you ? can't add photos",neutral
1957133461,4 more followers.. follow me and I'll love you!! *pouts* Please?,neutral
1957133601,@alyssainescruz aww. me too  annoying!!! :|,worry
1957133900,"@textdrivebys i dont even have a WII! b likes xbox, so that's what we have  do you use it?",neutral
1957133923,"I can't sleep, this is so darn frustrating.",sadness
1957134074,@thunder_express i didnt get to see it tonight,neutral
1957134278,My BFF rocking Hotel California now. No @NKOTB songs!  done stay the same. What's next? Hmmm.. Careless whisper!,fun
1957134402,@stormyamorette just one of those days where loneliness creeps up on you slaps you in the face.,sadness
1957134460,RIP kelly  fucccccck,sadness
1957134780,@RockedByPickler well I don't have vacations so let's NOT go there,worry
1957134969,"I think im being ignored...by my best friend, jake....a) i hate being ignored. b) we all know how things go with him",worry
1957135415,2nd to last episode of jay leno  itll never be the same!  nite twitter,neutral
1957135976,Not feeling too good,sadness
1957136360,Ok. Time to nodd off its gonna be a long day tomorrow. Saying goodbye to my car for good,sadness
1957136490,Fakin' kisha...just my luck!,neutral
1957136519,Taking a nap after work=no sleep right now. The nap felt soooo good but now it seems like a bad idea,worry
1957136704,is going home... I've seriously had enough,worry
1957137074,i miss oklahomaaaaa  listening to citizen cope til i pass out.,sadness
1957137139,so tense..so emotional...so not me..,neutral
1957137208,@skyduke478 that makes me sad for you,worry
1957137805,playing the game of watching straight people hook up but can't leave because of another reason,neutral
1957138437,@daveg38 yeah work today  never mind only one day then sun sun sun....,neutral
1957138659,Feels like im going to cough up a lung,worry
1957139587,its funny. i'm kinda sad on my last day,sadness
1957139613,@heresmyhello92 I don't think it was either. But I can't remember it.,neutral
1957139668,anyone got JBs live chat vid? i was @ school  I saw joe hug and tackle nick lol,neutral
